docid	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprintdate	genres	subjects	locnum	oclc	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
mdp.39015020681964	Doyle, Arthur Conan, Sir	1859-1930.	1930.0	1930.0	s	1930	    	1930	Mystery fiction	Holmes, Sherlock (Fictitious character)|Morley, Christopher|England|Detective and mystery stories, English|1890-1957|Private investigators		359767.0	5132	1	6.5	3.0	v.2	2.0	The complete Sherlock Holmes / | $c: by Sir Arthur Conan Doyle ; with a preface by Christopher Morley.		True	The complete Sherlock Holmes
mdp.39015035308959	Doyle, Arthur Conan, Sir	1859-1930.	1930.0	1930.0	s	1930	    	1930	Mystery fiction	Holmes, Sherlock (Fictitious character)|Morley, Christopher|England|Detective and mystery stories, English|1890-1957|Private investigators		359767.0	5132	1	6.5	3.0			The complete Sherlock Holmes / | $c: by Sir Arthur Conan Doyle ; with a preface by Christopher Morley.		True	The complete Sherlock Holmes
mdp.39015030052180	Ammers-Küller, Jo van	1884-1966.	1930.0	1930.0	|	1930	||||	1930				1267540.0	28256	1	1.0	1.0			Tantalus : | a novel ... / | $c: tr. from the Dutch by G. J. Renier and Irene Clephane.		True	Tantalus : a novel
mdp.39015030113685	Young, Francis Brett	1884-1954.	1930.0	1930.0	|	1930	||||	1930				13964545.0	29936	1	1.0	1.0			Jim Redlake.		True	Jim Redlake
mdp.39015006994571	Beresford, J. D. (John Davys)	1873-1947.	1930.0	1930.0	s	1930	    	1930			PZ3.B45Lu	1996899.0	115423	1	1.0	1.0			Love's illusion, | $c: by J. D. Beresford.		True	Love's illusion
mdp.39015070528545	Hare, Kenneth	1888-	1930.0	1930.0	s	1930	    	1930		Rogues and vagabonds	PR6015.A6R6 1930	10885717.0	116200	1	1.0	1.0			Roads and vagabonds, | $c: written by Kenneth Hare, illustrated by Cecil Aldin.		True	Roads and vagabonds
mdp.39015004156280	Freeman, H. W. (Harold Webber)	1899-	1930.0	1930.0	s	1930	    	1930			PZ3.F8795Do	1167664.0	118799	2	2.0	2.0			Down in the valley, | $c: by H. W. Freeman.		True	Down in the valley
mdp.39015033161509	Thomas, Lida Larrimore (Turner), Mrs	1897-	1930.0	1930.0	s	1930	    	1930			PZ3.T3649Mu	4788263.0	120165	1	1.0	1.0			Mulberry square.		True	Mulberry square
uc1.$b63916	Stowell, Gordon		1930.0	1930.0	s	1930	    	1930			PZ3.S8908Hi	4124012.0	122122	2	2.0	2.0			The history of Button Hill, | $c: by Gordon Stowell.		True	The history of Button Hill
mdp.39015034809098	Strahan, Kay Cleaver, Mrs		1930.0	1930.0	s	1930	    	1930			PZ3.S894Dd 2	1822481.0	122123	1	1.0	1.0			Death traps, | $c: by Kay Cleaver Strahan.		True	Death traps
