docid	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprintdate	genres	subjects	locnum	oclc	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
mdp.39015011404947	Norris, Kathleen Thompson	1880-1966.	1930.0	1930.0	s	1930	    	1930			PZ3.N794Lr	289813.0	322684	1	1.0	1.0			The lucky Lawrences.		True	The lucky Lawrences
mdp.39015063932639	Landon, Herman	1882-1960.	1930.0	1930.0	s	1930	    	1930			PZ3.L2368Th	24582024.0	323225	1	1.0	1.0			Three brass elephants, | $c: by Herman Landon.		True	Three brass elephants
mdp.39015063974144	White, Betty		1930.0	1930.0	s	1930	    	1930			PZ3.W58224 I	7528915.0	323471	1	1.0	1.0			I lived this story, | $c: by Betty White.		True	I lived this story
mdp.39015063974763	Wells, Carolyn	1862-1942.	1930.0	1930.0	s	1930	    	1930			PZ3.W463Gh	4684498.0	324199	1	1.0	1.0			The ghosts' high noon | $c: [by]Carolyn Wells; a Fleming Stone story.		True	The ghosts' high noon
mdp.39015063974730	Wells, Carolyn	1862-1942.	1930.0	1930.0	s	1930	    	1930			PZ3.W463Do	1811799.0	324203	1	1.0	1.0			The doomed five. | $c: by Carolyn Wells, a Fleming Stone story.		True	The doomed five
mdp.39015063979549	Wren, Percival Christopher	1885-1941.	1930.0	1930.0	s	1930	    	1930			PZ3.W927Mam	1527137.0	325244	1	1.0	1.0			Mammon, | a mystery novel | $c: by Percival Christopher Wren.		True	Mammon, a mystery novel
mdp.39015063960168	Scott, Winifred Mary		1930.0	1930.0	s	1930	    	1930			PZ3.S431En	43891924.0	325780	1	1.0	1.0			The end of the avenue, | $c: by Pamela Wynne [pseud.]		True	The end of the avenue
mdp.39015063960002	Wynne, Pamela		1930.0	1930.0	s	1930	    	1930			PZ3.S431Li 2	1159932.0	325782	1	1.0	1.0			A little flat in the Temple, | $c: by Pamela Wynne [pseud.]		True	A little flat in the Temple
mdp.39015006573888	Sedgwick, Anne Douglas	1873-1935.	1930.0	1930.0	s	1930	    	1930			PZ3.S448Ph	1285911.0	326057	2	2.0	2.0			Philippa, | $c: by Anne Douglas Sedgwick (Mrs. Basil de Sélincourt).		True	Philippa
mdp.39015063917010	Frankau, Gilbert	1884-1952.	1930.0	1930.0	s	1930	    	1930			PZ3.F85Dan 2	2637384.0	326632	1	1.0	1.0			Dance, little gentleman! | $c: By Gilbert Frankau.		True	Dance, little gentleman!
mdp.39015030946332	Arlen, Michael	1895-1956.	1930.0	1930.0	s	1930	    	1930				3372355.0	355206	1	2.0	2.0			Lily Christine.		True	Lily Christine
