title	words_men	words_women	frac_women	script_id	imdb_id	year	gross
The Assassination of Jesse James by the Coward Robert Ford	7728.0	2113.0	0.2147139518341632	3866	tt0443680	2007	4.0
The Assignment	8977.0	1141.0	0.11276932200039534	697	tt0118647	1997	1.0
The Avengers	11207.0	1723.0	0.13325599381283837	1723	tt0848228	2012	680.0
The Aviator	12159.0	2608.0	0.17661000880341302	7214	tt0338751	2004	144.0
The Babadook	1798.0	4675.0	0.7222308048818168	6912	tt2321549	2014	0.0
The Back-up Plan	4246.0	8090.0	0.6558041504539559	1734	tt1212436	2010	41.0
The Beach	9204.0	1605.0	0.14848737163474882	726	tt0163978	2000	64.0
The Beaver	8738.0	4034.0	0.3158471656749139	7626	tt1321860	2011	1.0
The Believer	13512.0	3332.0	0.19781524578484921	1805	tt0247199	2001	0.0
The Best Exotic Marigold Hotel	9259.0	7094.0	0.433804194948939	1810	tt1412386	2011	50.0
The Big Blue	12994.0	5120.0	0.282654300541018	1815	tt0095250	1988	
The Big Easy	5659.0	299.0	0.05018462571332662	3925	tt0092654	1986	41.0
The Big Lebowski	9740.0	830.0	0.07852412488174078	1823	tt0118715	1998	32.0
The Big Short	8064.0	1449.0	0.152317880794702	5496	tt1596363	2015	62.0
The Birds	7712.0	14284.0	0.6493907983269686	1826	tt0056869	1963	
The Black Cauldron	6425.0	1470.0	0.1861937935402153	6026	tt0088814	1985	51.0
The Black Dahlia	8247.0	3167.0	0.27746626949360437	745	tt0387877	2006	29.0
The Blair Witch Project	4410.0	5168.0	0.5395698475673418	5531	tt0185937	1999	241.0
The Blind Side	7144.0	7890.0	0.5248104296926965	1855	tt0878804	2009	296.0
The Bling Ring	1582.0	4193.0	0.7260606060606061	1856	tt2132285	2013	6.0
The Blob	3101.0	1268.0	0.29022659647516597	6239	tt0094761	1988	17.0
The Body Snatcher	9004.0	1945.0	0.17764179377112066	3949	tt0037549	1945	
The Bodyguard	8843.0	5086.0	0.3651374829492426	759	tt0103855	1992	255.0
The Bonfire of the Vanities	11369.0	2844.0	0.2000985013719834	761	tt0099165	1990	32.0
The Book of Eli	14518.0	4598.0	0.24053149194392132	1886	tt1037705	2010	104.0
The Boondock Saints	11317.0	560.0	0.04714995369200976	1892	tt0144117	1999	
The Boondock Saints II: All Saints Day	7359.0	2397.0	0.2456949569495695	3952	tt1300851	2009	11.0
The Bounty Hunter	4567.0	2468.0	0.350817341862118	768	tt1038919	2010	73.0
The Bourne Identity	5041.0	1397.0	0.2169928549238894	1902	tt0258463	2002	181.0
The Bourne Supremacy	6284.0	4048.0	0.39179248935346495	1904	tt0372183	2004	246.0
The Bourne Ultimatum	8494.0	1996.0	0.19027645376549093	1907	tt0440963	2007	287.0
The Box	8965.0	5008.0	0.35840549631432045	1909	tt0362478	2009	17.0
The Boxtrolls	4147.0	1084.0	0.20722615178742115	5481	tt0787474	2014	54.0
The Boy Next Door	5256.0	5210.0	0.49780240779667495	7704	tt3181822	2015	36.0
The Brave One	2557.0	2603.0	0.5044573643410852	3959	tt0476964	2007	46.0
The Breakfast Club	13612.0	4276.0	0.23904293381037567	1919	tt0088847	1985	93.0
The Bridges of Madison County	2631.0	3763.0	0.5885204879574601	280	tt0112579	1995	142.0
The Brothers Bloom	9358.0	4408.0	0.32020921109981115	1934	tt0844286	2008	4.0
The Bucket List	10115.0	965.0	0.08709386281588448	3973	tt0825232	2007	118.0
The Butterfly Effect	14040.0	5396.0	0.277629141798724	1949	tt0289879	2004	
The Cabin in the Woods	4339.0	2664.0	0.38040839640154217	8770	tt1259521	2012	45.0
The Cable Guy	8562.0	969.0	0.10166824047843878	6712	tt0115798	1996	118.0
The Cell	6556.0	4532.0	0.4087301587301587	1976	tt0209958	2000	98.0
The Change-Up	16287.0	2761.0	0.14494960100797985	1981	tt1488555	2011	40.0
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2805.0	1842.0	0.39638476436410586	5300	tt0363771	2005	396.0
The Cider House Rules	7755.0	2689.0	0.2574684029107622	806	tt0124315	1999	98.0
The Cincinnati Kid	7762.0	2687.0	0.2571537946214949	805	tt0059037	1965	
The Client	2553.0	3081.0	0.5468583599574015	4019	tt0109446	1994	191.0
The Cocoanuts	7160.0	1412.0	0.16472235184321046	4031	tt0019777	1929	
The Collection	3998.0	1172.0	0.22669245647969052	7907	tt1748227	2012	7.0
The Company Men	5367.0	1120.0	0.17265299830430092	4035	tt1172991	2010	4.0
The Cooler	14068.0	3662.0	0.20654258319232938	2054	tt0318374	2003	11.0
The Corruptor	9145.0	556.0	0.057313679002164726	4044	tt0142192	1999	26.0
The Counselor	2596.0	656.0	0.2017220172201722	7915	tt2193215	2013	18.0
The Craft	444.0	3662.0	0.8918655625913298	7891	tt0115963	1996	48.0
The Crazies	2781.0	898.0	0.2440880674096222	4049	tt0455407	2010	43.0
The Croods	5019.0	2125.0	0.29745240761478164	5482	tt0481499	2013	200.0
The Crow	6102.0	1184.0	0.16250343123799066	2087	tt0109506	1994	105.0
The Crow: City of Angels	2019.0	823.0	0.2895847994370162	832	tt0115986	1996	35.0
The Crow: Salvation	7734.0	2310.0	0.22998805256869773	2085	tt0132910	2000	
The Crying Game	13626.0	1520.0	0.10035652977683877	2093	tt0104036	1992	131.0
The Curious Case of Benjamin Button	6402.0	6542.0	0.505407911001236	8802	tt0421715	2008	153.0
The Curse of the Cat People	2802.0	6937.0	0.7122907896087894	4064	tt0036733	1944	
The Cutting Edge	4186.0	1707.0	0.2896657050738164	7067	tt0104040	1992	52.0
The Damned United	17770.0	196.0	0.010909495714126683	2099	tt1226271	2009	0.0
The Darjeeling Limited	6798.0	1093.0	0.13851222912178432	6832	tt0838221	2007	15.0
The Dark Half	8926.0	1623.0	0.15385344582424873	6535	tt0106664	1993	20.0
The Dark Knight	30290.0	3246.0	0.09679150763358779	2106	tt0468569	2008	645.0
The Dark Knight Rises	8682.0	1537.0	0.1504061062726294	8807	tt1345836	2012	489.0
The Day The Earth Stood Still	5452.0	947.0	0.14799187373027037	849	tt0043456	1951	
The Day the Clown Cried	7979.0	229.0	0.02789961013645224	846	tt0068451	1972	
The Debt	3934.0	2072.0	0.34498834498834496	2133	tt1226753	2010	34.0
The Deep End of the Ocean	2553.0	3658.0	0.5889550796973112	5305	tt0120646	1999	22.0
The Deer Hunter	5192.0	584.0	0.10110803324099724	853	tt0077416	1978	
The Departed	24370.0	2030.0	0.07689393939393939	2144	tt0407887	2006	175.0
The Descendants	10291.0	4601.0	0.30895782970722535	2146	tt1033575	2011	90.0
The Descent	0.0	4076.0	1.0	7695	tt0435625	2005	35.0
The Devil Wears Prada	2741.0	8729.0	0.76102877070619	4109	tt0458352	2006	166.0
The Devil's Advocate	18188.0	4908.0	0.21250432975406996	2153	tt0118971	1997	115.0
The Devil's Rejects	14289.0	3513.0	0.19733737782271654	7364	tt0395584	2005	22.0
The Diary of a Teenage Girl	2625.0	6739.0	0.7196710807347287	5484	tt3172532	2015	1.0
The Distinguished Gentleman	1384.0	110.0	0.07362784471218206	2160	tt0104114	1992	97.0
The Diving Bell and the Butterfly	4911.0	2541.0	0.34098228663446056	4117	tt0401383	2007	7.0
The Doom Generation	782.0	593.0	0.43127272727272725	4125	tt0112887	1995	
The Doors	10500.0	2080.0	0.16534181240063592	871	tt0101761	1991	72.0
The Driver	4058.0	194.0	0.045625587958607716	8395	tt0077474	1978	
The Drop	6086.0	1497.0	0.19741527100092313	8151	tt1600196	2014	11.0
The Duchess	2982.0	4727.0	0.6131794007004799	4137	tt0864761	2008	16.0
The Edge	6711.0	246.0	0.03536006899525657	8514	tt0119051	1997	52.0
The Electric Horseman	2866.0	2091.0	0.4218277183780512	4158	tt0079100	1979	
The Elephant Man	4535.0	1310.0	0.22412318220701455	886	tt0080678	1980	
The End of the Tour	3117.0	304.0	0.08886290558316282	5485	tt3416744	2015	3.0
The English Patient	14474.0	4584.0	0.2405289117431	2224	tt0116209	1996	154.0
The Equalizer	3555.0	772.0	0.17841460596256067	6095	tt0455944	2014	108.0
The Exorcist	3607.0	2765.0	0.43392969240426865	4184	tt0070047	1973	195.0
The Expendables	6963.0	727.0	0.09453836150845253	4185	tt1320253	2010	113.0
